Zip,Place Name,State,State Short,County,,,,,,
17301,Abbottstown,Pennsylvania,PA,Adams,1,,,39.8881,-76.9931,4
17303,Arendtsville,Pennsylvania,PA,Adams,1,,,39.9236,-77.3001,4
17304,Aspers,Pennsylvania,PA,Adams,1,,,39.9765,-77.2287,4
17306,Bendersville,Pennsylvania,PA,Adams,1,,,39.9792,-77.2496,4
17307,Biglerville,Pennsylvania,PA,Adams,1,,,39.9281,-77.2885,4
17310,Cashtown,Pennsylvania,PA,Adams,1,,,39.8906,-77.3566,4
17316,East Berlin,Pennsylvania,PA,Adams,1,,,39.9645,-77.0073,4
17320,Fairfield,Pennsylvania,PA,Adams,1,,,39.7808,-77.3619,4
17324,Gardners,Pennsylvania,PA,Adams,1,,,40.0428,-77.1877,4
17325,Gettysburg,Pennsylvania,PA,Adams,1,,,39.832,-77.2223,4
17337,Idaville,Pennsylvania,PA,Adams,1,,,40.0157,-77.2001,4
17340,Littlestown,Pennsylvania,PA,Adams,1,,,39.7495,-77.1003,4
17343,Mc Knightstown,Pennsylvania,PA,Adams,1,,,39.8692,-77.3292,1
17344,Mc Sherrystown,Pennsylvania,PA,Adams,1,,,39.801,-77.0229,1
17350,New Oxford,Pennsylvania,PA,Adams,1,,,39.8775,-77.0643,4
17353,Orrtanna,Pennsylvania,PA,Adams,1,,,39.881,-77.3806,4
17372,York Springs,Pennsylvania,PA,Adams,1,,,40.0084,-77.1061,4
17375,Peach Glen,Pennsylvania,PA,Adams,1,,,39.8948,-77.2135,4
15006,Bairdford,Pennsylvania,PA,Allegheny,3,,,40.6312,-79.8814,4
15007,Bakerstown,Pennsylvania,PA,Allegheny,3,,,40.6478,-79.931,4
15014,Brackenridge,Pennsylvania,PA,Allegheny,3,,,40.6082,-79.7414,4
15015,Bradfordwoods,Pennsylvania,PA,Allegheny,3,,,40.6372,-80.0811,1
15017,Bridgeville,Pennsylvania,PA,Allegheny,3,,,40.3472,-80.1153,4
15018,Buena Vista,Pennsylvania,PA,Allegheny,3,,,40.2773,-79.7992,4
15020,Bunola,Pennsylvania,PA,Allegheny,3,,,40.2373,-79.9506,4
15024,Cheswick,Pennsylvania,PA,Allegheny,3,,,40.5681,-79.841,4
15025,Clairton,Pennsylvania,PA,Allegheny,3,,,40.3243,-79.9317,4
15026,Clinton,Pennsylvania,PA,Allegheny,3,,,40.5131,-80.3423,4
15028,Coulters,Pennsylvania,PA,Allegheny,3,,,40.4344,-80.0248,1
15030,Creighton,Pennsylvania,PA,Allegheny,3,,,40.5821,-79.7818,4
15031,Cuddy,Pennsylvania,PA,Allegheny,3,,,40.3547,-80.1669,4
15032,Curtisville,Pennsylvania,PA,Allegheny,3,,,40.6423,-79.8509,4
15034,Dravosburg,Pennsylvania,PA,Allegheny,3,,,40.3527,-79.8895,4
15035,East Mc Keesport,Pennsylvania,PA,Allegheny,3,,,40.3839,-79.8079,1
15037,Elizabeth,Pennsylvania,PA,Allegheny,3,,,40.2656,-79.8568,4
15044,Gibsonia,Pennsylvania,PA,Allegheny,3,,,40.6252,-79.9443,4
15045,Glassport,Pennsylvania,PA,Allegheny,3,,,40.326,-79.8883,4
15046,Crescent,Pennsylvania,PA,Allegheny,3,,,40.5563,-80.2286,4
15047,Greenock,Pennsylvania,PA,Allegheny,3,,,40.3123,-79.8067,4
15049,Harwick,Pennsylvania,PA,Allegheny,3,,,40.5574,-79.8051,4
15051,Indianola,Pennsylvania,PA,Allegheny,3,,,40.5695,-79.8637,4
15056,Leetsdale,Pennsylvania,PA,Allegheny,3,,,40.5662,-80.2099,4
15064,Morgan,Pennsylvania,PA,Allegheny,3,,,40.3542,-80.1398,4
15065,Natrona Heights,Pennsylvania,PA,Allegheny,3,,,40.6421,-79.7273,4
15071,Oakdale,Pennsylvania,PA,Allegheny,3,,,40.4033,-80.1842,4
15075,Rural Ridge,Pennsylvania,PA,Allegheny,3,,,40.5856,-79.8287,4
15076,Russellton,Pennsylvania,PA,Allegheny,3,,,40.6073,-79.8347,4
15082,Sturgeon,Pennsylvania,PA,Allegheny,3,,,40.3863,-80.2083,4
15084,Tarentum,Pennsylvania,PA,Allegheny,3,,,40.6187,-79.7852,4
15086,Warrendale,Pennsylvania,PA,Allegheny,3,,,40.6534,-80.0795,4
15088,West Elizabeth,Pennsylvania,PA,Allegheny,3,,,40.2716,-79.8966,4
15090,Wexford,Pennsylvania,PA,Allegheny,3,,,40.612,-80.0649,4
15091,Wildwood,Pennsylvania,PA,Allegheny,3,,,40.5942,-79.9701,4
15095,Warrendale,Pennsylvania,PA,Allegheny,3,,,40.6534,-80.0795,4
15096,Warrendale,Pennsylvania,PA,Allegheny,3,,,40.6534,-80.0795,4
15101,Allison Park,Pennsylvania,PA,Allegheny,3,,,40.57,-79.9665,4
15102,Bethel Park,Pennsylvania,PA,Allegheny,3,,,40.321,-80.0398,4
15104,Braddock,Pennsylvania,PA,Allegheny,3,,,40.4038,-79.8625,4
15106,Carnegie,Pennsylvania,PA,Allegheny,3,,,40.4029,-80.0915,4
15108,Coraopolis,Pennsylvania,PA,Allegheny,3,,,40.5,-80.1996,4
15110,Duquesne,Pennsylvania,PA,Allegheny,3,,,40.3704,-79.8522,4
15112,East Pittsburgh,Pennsylvania,PA,Allegheny,3,,,40.4036,-79.8389,4
15116,Glenshaw,Pennsylvania,PA,Allegheny,3,,,40.5375,-79.9644,4
15120,Homestead,Pennsylvania,PA,Allegheny,3,,,40.3926,-79.9052,4
15122,West Mifflin,Pennsylvania,PA,Allegheny,3,,,40.3634,-79.8664,4
15123,West Mifflin,Pennsylvania,PA,Allegheny,3,,,40.4344,-80.0248,4
15126,Imperial,Pennsylvania,PA,Allegheny,3,,,40.4584,-80.2649,4
15127,Ingomar,Pennsylvania,PA,Allegheny,3,,,40.5809,-80.0609,4
15129,South Park,Pennsylvania,PA,Allegheny,3,,,40.2932,-79.996,4
15131,Mckeesport,Pennsylvania,PA,Allegheny,3,,,40.3478,-79.8642,4
15132,Mckeesport,Pennsylvania,PA,Allegheny,3,,,40.3478,-79.8642,4
15133,Mckeesport,Pennsylvania,PA,Allegheny,3,,,40.3478,-79.8642,4
15134,Mckeesport,Pennsylvania,PA,Allegheny,3,,,40.3478,-79.8642,4
15135,Mckeesport,Pennsylvania,PA,Allegheny,3,,,40.3478,-79.8642,4
15136,Mc Kees Rocks,Pennsylvania,PA,Allegheny,3,,,40.4717,-80.0876,1
15137,North Versailles,Pennsylvania,PA,Allegheny,3,,,40.3762,-79.8124,4
15139,Oakmont,Pennsylvania,PA,Allegheny,3,,,40.5196,-79.8369,4
15140,Pitcairn,Pennsylvania,PA,Allegheny,3,,,40.4048,-79.777,4
15142,Presto,Pennsylvania,PA,Allegheny,3,,,40.3847,-80.1209,4
15143,Sewickley,Pennsylvania,PA,Allegheny,3,,,40.557,-80.1578,4
15144,Springdale,Pennsylvania,PA,Allegheny,3,,,40.544,-79.7844,4
15145,Turtle Creek,Pennsylvania,PA,Allegheny,3,,,40.4113,-79.822,4
15146,Monroeville,Pennsylvania,PA,Allegheny,3,,,40.429,-79.7623,4
15147,Verona,Pennsylvania,PA,Allegheny,3,,,40.4927,-79.8345,4
15148,Wilmerding,Pennsylvania,PA,Allegheny,3,,,40.3934,-79.7951,4
15201,Pittsburgh,Pennsylvania,PA,Allegheny,3,,,40.4752,-79.9528,4
15202,Pittsburgh,Pennsylvania,PA,Allegheny,3,,,40.5053,-80.0685,4
15203,Pittsburgh,Pennsylvania,PA,Allegheny,3,,,40.4254,-79.9799,4
15204,Pittsburgh,Pennsylvania,PA,Allegheny,3,,,40.4554,-80.0644,4
