Facility ID,CMS ID,Twitter Handle,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services
Geisinger-Community Medical Center,390001,,1822 MULBERRY STREET,SCRANTON,PA,18510,LACKAWANNA,(570) 969-8240,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Mckeesport,390002,,1500 FIFTH AVENUE,MC KEESPORT,PA,15132,ALLEGHENY,(412) 664-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Geisinger-Bloomsburg Hospital,390003,,549 EAST FAIR STREET,BLOOMSBURG,PA,17815,COLUMBIA,(570) 387-2100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Holy Spirit Hospital,390004,,503 NORTH 21ST STREET,CAMP HILL,PA,17011,CUMBERLAND,(717) 763-2100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Geisinger Medical Center,390006,,100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822,MONTOUR,(570) 271-6211,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Ellwood City Medical Center,390008,,724 PERSHING STREET,ELLWOOD CITY,PA,16117,LAWRENCE,(724) 752-0081,Acute Care Hospitals,Proprietary,Yes
Saint Vincent Hospital,390009,,232 WEST 25TH STREET,ERIE,PA,16544,ERIE,(814) 452-5111,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Lansdale Hospital,390012,,100 MEDICAL CAMPUS DRIVE,LANSDALE,PA,19446,MONTGOMERY,(215) 368-2100,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Evangelical Community Hospital,390013,,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,UNION,(570) 522-2200,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Upmc Jameson,390016,,1211 WILMINGTON AVENUE,NEW CASTLE,PA,16105,LAWRENCE,(724) 656-4100,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Palmerton Hospital,390019,,135 LAFAYETTE AVENUE,PALMERTON,PA,18071,CARBON,(610) 826-3141,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Kensington Hospital,390025,,136 W DIAMOND STREET,PHILADELPHIA,PA,19122,PHILADELPHIA,(215) 426-8100,Acute Care Hospitals,Voluntary non-profit - Other,No
Chestnut Hill Hospital,390026,,8835 GERMANTOWN AVE,PHILADELPHIA,PA,19118,PHILADELPHIA,(215) 248-8200,Acute Care Hospitals,Proprietary,Yes
Temple University Hospital,390027,,3401 NORTH BROAD STREET,PHILADELPHIA,PA,19140,PHILADELPHIA,(215) 707-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Mercy,390028,,1400 LOCUST STREET,PITTSBURGH,PA,15219,ALLEGHENY,(412) 232-8111,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Lehigh Valley Hospital-Schuylkill S. Jackson Stree,390030,,420 SOUTH JACKSON STREET,POTTSVILLE,PA,17901,SCHUYLKILL,(570) 621-5102,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Allegheny Valley Hospital,390032,,1301 CARLISLE ST,NATRONA,PA,15065,ALLEGHENY,(412) 224-5100,Acute Care Hospitals,Voluntary non-profit - Other,Yes
St Luke'S Quakertown Hospital,390035,,1021 PARK AVENUE,QUAKERTOWN,PA,18951,BUCKS,(215) 538-4500,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Heritage Valley Beaver,390036,,1000 DUTCH RIDGE ROAD,BEAVER,PA,15009,BEAVER,(412) 728-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Heritage Valley Sewickley,390037,,720 BLACKBURN ROAD,SEWICKLEY,PA,15143,ALLEGHENY,(412) 741-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Somerset,390039,,225 SOUTH CENTER AVENUE,SOMERSET,PA,15501,SOMERSET,(814) 443-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Uniontown Hospital,390041,,500 WEST BERKELEY STREET,UNIONTOWN,PA,15401,FAYETTE,(724) 430-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
"Washington Hospital, The",390042,,155 WILSON AVENUE,WASHINGTON,PA,15301,WASHINGTON,(724) 225-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Reading Hospital,390044,,420 S 5TH AVENUE,WEST READING,PA,19611,BERKS,(610) 988-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Williamsport Regional Medical Center,390045,,700 HIGH STREET,WILLIAMSPORT,PA,17701,LYCOMING,(570) 321-2389,Acute Care Hospitals,Voluntary non-profit - Other,Yes
York Hospital,390046,,1001 SOUTH GEORGE STREET,YORK,PA,17403,YORK,(717) 851-2345,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Geisinger-Lewistown Hospital,390048,,400 HIGHLAND AVENUE,LEWISTOWN,PA,17044,MIFFLIN,(717) 248-5411,Acute Care Hospitals,Voluntary non-profit - Private,Yes
St Luke'S Hospital Bethlehem,390049,,801 OSTRUM STREET,BETHLEHEM,PA,18015,NORTHAMPTON,(610) 954-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Allegheny General Hospital,390050,,320 EAST NORTH AVENUE,PITTSBURGH,PA,15212,ALLEGHENY,(412) 359-3131,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Penn Highlands Clearfield,390052,,809 TURNPIKE AVE,CLEARFIELD,PA,16830,CLEARFIELD,(814) 768-2497,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Penn Highlands Huntindon,390056,,1225 WARM SPRINGS AVE,HUNTINGDON,PA,16652,HUNTINGDON,(814) 643-2290,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Grand View Hospital,390057,,700 LAWN AVENUE,SELLERSVILLE,PA,18960,BUCKS,(215) 453-4615,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Carlisle Regional Medical Center,390058,,361 ALEXANDER SPRING ROAD,CARLISLE,PA,17015,CUMBERLAND,(717) 249-1212,Acute Care Hospitals,Proprietary,Yes
Conemaugh Nason Medical Center,390062,,105 NASON DRIVE,ROARING SPRING,PA,16673,BLAIR,(814) 224-2141,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Hamot,390063,,201 STATE STREET,ERIE,PA,16550,ERIE,(814) 877-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Gettysburg Hospital,390065,,147 GETTYS STREET,GETTYSBURG,PA,17325,ADAMS,(717) 334-2121,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Good Samaritan Hospital,390066,,FOURTH AND WALNUT STREETS,LEBANON,PA,17042,LEBANON,(717) 270-7500,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Pinnacle Health Hospitals,390067,,409 SOUTH SECOND STREET,HARRISBURG,PA,17105,DAUPHIN,(717) 782-5181,Acute Care Hospitals,Voluntary non-profit - Other,Yes
Upmc Lititz,390068,,1500 HIGHLANDS DRIVE,LITITZ,PA,17543,LANCASTER,(717) 625-5670,Acute Care Hospitals,Proprietary,Yes
Lower Bucks Hospital,390070,,501 BATH ROAD,BRISTOL,PA,19007,BUCKS,(215) 785-9200,Acute Care Hospitals,Proprietary,Yes
Lock Haven Hospital,390071,,24 CREE DRIVE,LOCK HAVEN,PA,17745,CLINTON,(570) 893-5024,Acute Care Hospitals,Proprietary,Yes
Berwick Hospital Center,390072,,701 EAST 16TH STREET,BERWICK,PA,18603,COLUMBIA,(570) 759-5020,Acute Care Hospitals,Proprietary,Yes
Upmc Altoona,390073,,620 HOWARD AVENUE,ALTOONA,PA,16601,BLAIR,(814) 889-2011,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Brandywine Hospital,390076,,201 REECEVILLE ROAD,COATESVILLE,PA,19320,CHESTER,(610) 383-8000,Acute Care Hospitals,Proprietary,Yes
Robert Packer Hospital,390079,,ONE GUTHRIE SQUARE,SAYRE,PA,18840,BRADFORD,(570) 888-6666,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Jeanes Hospital,390080,,7600 CENTRAL AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,(215) 728-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Delaware County Memorial Hospital,390081,,501 NORTH LANSDOWNE AVE,DREXEL HILL,PA,19026,DELAWARE,(215) 284-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Sunbury Community Hospital,390084,,350 NORTH 11TH STREET,SUNBURY,PA,17801,NORTHUMBERLAND,(570) 286-3333,Acute Care Hospitals,Proprietary,No
Penn Highlands Dubois,390086,,100 HOSPITAL AVENUE,DUBOIS,PA,15801,CLEARFIELD,(814) 371-2200,Acute Care Hospitals,Voluntary non-profit - Other,Yes
West Penn Hospital,390090,,4800 FRIENDSHIP AVENUE,PITTSBURGH,PA,15224,ALLEGHENY,(412) 578-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
Upmc Northwest,390091,,100 FAIRFIELD DRIVE,SENECA,PA,16346,VENANGO,(814) 676-7600,Acute Care Hospitals,Voluntary non-profit - Other,Yes
